Time_s,X_m,Y_m,Theta_rad
1711,10.4999197176737,45.2357605935423,-1.57062148262296
1711.5,10.4999320017501,45.1607605945505,-1.57064823569832
1712,10.4999424062281,45.0857605952738,-1.57067089526004
1712.5,10.4999512187069,45.0107605957927,-1.57069008766047
1713,10.4999586827798,44.9357605961649,-1.57070634341322
1713.5,10.4999650047677,44.860760596432,-1.57072011185757
1714,10.4999703594221,44.7857605966235,-1.57073177357894
1714.5,10.4999748947557,44.710760596761,-1.57074165092906
1715,10.4999787361334,44.6357605968596,-1.57075001693627
1715.5,10.4999819897383,44.5607605969303,-1.57075710285262
1716,10.4999847455059,44.485760596981,-1.57076310454604
1716.5,10.4999870796108,44.4107605970174,-1.57076818791454
1717,10.4999890565721,44.3357605970436,-1.57077249347191
1717.5,10.4999907310366,44.2607605970623,-1.57077614023176
1718,10.4999921492897,44.1857605970757,-1.57077922899736
1718.5,10.4999933505345,44.1107605970854,-1.57078184514793
1719,10.4999943679756,44.0357605970923,-1.57078406099877
1719.5,10.4999952297371,43.9607605970972,-1.57078593780013
1720,10.4999959596397,43.8857605971008,-1.57078752743029
1720.5,10.4999965778591,43.8107605971034,-1.5707888738296
1721,10.4999971014842,43.7357605971052,-1.57079001421504
1721.5,10.4999975449889,43.6607605971065,-1.57079098010901
1722,10.4999979206326,43.5857605971075,-1.5707917982106
1722.5,10.4999982387986,43.5107605971081,-1.57079249113367
1723,10.4999985082817,43.4357605971086,-1.57079307803192
1723.5,10.499998736531,43.360760597109,-1.57079357512829
1724,10.4999989298556,43.2857605971092,-1.57079399616347
1724.5,10.4999990935994,43.2107605971094,-1.57079435277564
1725,10.4999992322887,43.1357605971095,-1.57079465482224
1725.5,10.4999993497569,43.0607605971096,-1.5707949106524
1726,10.4999994492512,42.9857605971097,-1.57079512733774
1726.5,10.4999995335218,42.9107605971097,-1.57079531086784
1727,10.4999996048981,42.8357605971098,-1.57079546631582
1727.5,10.499999665353,42.7607605971098,-1.57079559797856
1728,10.4999997165577,42.6857605971098,-1.57079570949545
1728.5,10.4999997599275,42.6107605971098,-1.57079580394904
1729,10.4999997966612,42.5357605971098,-1.57079588395018
1729.5,10.4999998277743,42.4607605971098,-1.57079595171028
1730,10.4999998541267,42.3857605971098,-1.57079600910234
1730.5,10.4999998764469,42.3107605971098,-1.57079605771278
1731,10.4999998953519,42.2357605971098,-1.5707960988853
1731.5,10.4999999113642,42.1607605971098,-1.57079613375797
1732,10.4999999249264,42.0857605971098,-1.57079616329473
1732.5,10.4999999364135,42.0107605971098,-1.57079618831205
1733,10.499999946143,41.9357605971098,-1.57079620950144
1733.5,10.4999999543837,41.8607605971098,-1.57079622744863
1734,10.4999999613635,41.7857605971098,-1.5707962426497
1734.5,10.4999999672753,41.7107605971098,-1.57079625552483
1735,10.4999999722825,41.6357605971098,-1.57079626642993
1735.5,10.4999999765236,41.5607605971098,-1.57079627566644
1736,10.4999999801157,41.4857605971098,-1.57079628348965
1736.5,10.4999999831583,41.4107605971098,-1.57079629011582
1737,10.4999999857352,41.3357605971098,-1.57079629572812
1737.5,10.4999999879179,41.2607605971098,-1.57079630048168
1738,10.4999999897666,41.1857605971098,-1.57079630450789
1738.5,10.4999999913324,41.1107605971098,-1.57079630791805
1739,10.4999999926586,41.0357605971098,-1.57079631080642
1739.5,10.499999993782,40.9607605971098,-1.57079631325283
1740,10.4999999947334,40.8857605971098,-1.57079631532492
1740.5,10.4999999955392,40.8107605971098,-1.57079631707995
1741,10.4999999962218,40.7357605971098,-1.57079631856644
1741.5,10.4999999967999,40.6607605971098,-1.57079631982549
1742,10.4999999972895,40.5857605971098,-1.57079632089188
1742.5,10.4999999977043,40.5107605971098,-1.57079632179511
1743,10.4999999980555,40.4357605971097,-1.57079632256013
1743.5,10.4999999983531,40.3607605971097,-1.57079632320809
1744,10.4999999986051,40.2857605971097,-1.57079632375691
1744.5,10.4999999988185,40.2107605971097,-1.57079632422175
1745,10.4999999989993,40.1357605971097,-1.57079632461547
1745.5,10.4999999991524,40.0607605971097,-1.57079632494895
1746,10.4999999992821,39.9857605971097,-1.5707963252314
1746.5,10.4999999993919,39.9107605971097,-1.57079632547063
1747,10.499999999485,39.8357605971097,-1.57079632567325
1747.5,10.4999999995638,39.7607605971097,-1.57079632584488
1748,10.4999999996305,39.6857605971097,-1.57079632599024
1748.5,10.4999999996871,39.6107605971097,-1.57079632611336
1749,10.4999999997349,39.5357605971097,-1.57079632621764
1749.5,10.4999999997755,39.4607605971097,-1.57079632630596
1750,10.4999999998098,39.3857605971097,-1.57079632638078
1750.5,10.4999999998389,39.3107605971097,-1.57079632644414
1751,10.4999999998636,39.2357605971097,-1.57079632649781
1751.5,10.4999999998845,39.1607605971097,-1.57079632654327
1752,10.4999999999021,39.0857605971097,-1.57079632658177
1752.5,10.4999999999171,39.0107605971097,-1.57079632661438
1753,10.4999999999298,38.9357605971097,-1.570796326642
1753.5,10.4999999999405,38.8607605971097,-1.5707963266654
1754,10.4999999999496,38.7857605971097,-1.57079632668521
1754.5,10.4999999999573,38.7107605971097,-1.57079632670199
1755,10.4999999999639,38.6357605971097,-1.57079632671621
1755.5,10.4999999999694,38.5607605971097,-1.57079632672825
1756,10.4999999999741,38.4857605971097,-1.57079632673845
1756.5,10.499999999978,38.4107605971097,-1.57079632674708
1757,10.4999999999814,38.3357605971097,-1.5707963267544
1757.5,10.4999999999843,38.2607605971097,-1.5707963267606
1758,10.4999999999867,38.1857605971097,-1.57079632676585
1758.5,10.4999999999887,38.1107605971097,-1.57079632677029
1759,10.4999999999904,38.0357605971097,-1.57079632677406
1759.5,10.4999999999919,37.9607605971097,-1.57079632677724
1760,10.4999999999931,37.8857605971097,-1.57079632677994
1760.5,10.4999999999942,37.8107605971096,-1.57079632678223
1761,10.4999999999951,37.7357605971096,-1.57079632678417
1761.5,10.4999999999958,37.6607605971096,-1.57079632678581
1762,10.4999999999965,37.5857605971096,-1.5707963267872
